用户问题/症状,子场景症状合并,标签（附加参考，用于引导生成或校正句子内容）,自我肯定语,zhihu_link
自我价值感降低（自我怀疑）,,用户1级需求： 用户2级需求：,我在独处的时光里找到了心灵的坚定和力量。,https://www.zhihu.com/pin/1339623048929128448 https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/22608645/answer/776241381 https://www.zhihu.com/question/23105958/answer/2543721659
自我价值感降低（自我怀疑）,,用户1级需求： 用户2级需求：,面对不确定的未来，我依然相信生活的美好安排。,https://www.zhihu.com/pin/1339623048929128448 https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/22608645/answer/776241381 https://www.zhihu.com/question/23105958/answer/2543721659
自我价值感降低（自我怀疑）,,用户1级需求： 用户2级需求：,我不因别人的评价而动摇，因为我理解自己的价值所在。,https://www.zhihu.com/pin/1339623048929128448 https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/22608645/answer/776241381 https://www.zhihu.com/question/23105958/answer/2543721659
自我价值感降低（自我怀疑）,,用户1级需求： 用户2级需求：,我在生活的每一步中都感受到自己的价值。,https://www.zhihu.com/pin/1339623048929128448 https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/22608645/answer/776241381 https://www.zhihu.com/question/23105958/answer/2543721659
自我价值感降低（自我怀疑）,,用户1级需求： 用户2级需求：,自我价值不是由外部成就定义的，而是由内在的信念和勇气构成。,https://www.zhihu.com/pin/1339623048929128448 https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/22608645/answer/776241381 https://www.zhihu.com/question/23105958/answer/2543721659
家庭冲突,,用户1级需求： 用户2级需求：,我相信心中的理解，是化解家庭冲突的关键,https://www.zhihu.com/question/660341866/answer/3556211360 https://www.zhihu.com/question/638248781/answer/3355071008 https://www.zhihu.com/question/427041303/answer/1675742541 https://www.zhihu.com/question/425223995/answer/1681849717
家庭冲突,,用户1级需求： 用户2级需求：,我家，是我情感的大陆，共同体认是和解的力量,https://www.zhihu.com/question/660341866/answer/3556211360 https://www.zhihu.com/question/638248781/answer/3355071008 https://www.zhihu.com/question/427041303/answer/1675742541 https://www.zhihu.com/question/425223995/answer/1681849717
家庭冲突,,用户1级需求： 用户2级需求：,用爱唤醒和谐，即使在误会中也能温暖彼此,https://www.zhihu.com/question/660341866/answer/3556211360 https://www.zhihu.com/question/638248781/answer/3355071008 https://www.zhihu.com/question/427041303/answer/1675742541 https://www.zhihu.com/question/425223995/answer/1681849717
家庭冲突,,用户1级需求： 用户2级需求：,我以沟通消除隔阂，用理解汇聚家人,https://www.zhihu.com/question/660341866/answer/3556211360 https://www.zhihu.com/question/638248781/answer/3355071008 https://www.zhihu.com/question/427041303/answer/1675742541 https://www.zhihu.com/question/425223995/answer/1681849717
家庭冲突,,用户1级需求： 用户2级需求：,我的爱心，能够铺平通向和解的道路,https://www.zhihu.com/question/660341866/answer/3556211360 https://www.zhihu.com/question/638248781/answer/3355071008 https://www.zhihu.com/question/427041303/answer/1675742541 https://www.zhihu.com/question/425223995/answer/1681849717
受辱敏感,,用户1级需求： 用户2级需求：,我如同一座孤岛，在世人的眼光之外，独自盛开，我自身的价值，不因任何风吹草动而有一丝一毫的动摇。,https://www.zhihu.com/pin/1363287978576502784 https://www.zhihu.com/question/28642580/answer/1874813027 https://www.zhihu.com/question/283907809/answer/1865331346 https://www.zhihu.com/question/315284987/answer/1864804256
受辱敏感,,用户1级需求： 用户2级需求：,我明白真正的尊严不是他人的施舍，而是自己内心的坚守。,https://www.zhihu.com/pin/1363287978576502784 https://www.zhihu.com/question/28642580/answer/1874813027 https://www.zhihu.com/question/283907809/answer/1865331346 https://www.zhihu.com/question/315284987/answer/1864804256
受辱敏感,,用户1级需求： 用户2级需求：,我不因别人的目光而改变，我的价值由我自己定夺。,https://www.zhihu.com/pin/1363287978576502784 https://www.zhihu.com/question/28642580/answer/1874813027 https://www.zhihu.com/question/283907809/answer/1865331346 https://www.zhihu.com/question/315284987/answer/1864804256
受辱敏感,,用户1级需求： 用户2级需求：,每一次自我挑战的背后，都是我更强大内在的显现。,https://www.zhihu.com/pin/1363287978576502784 https://www.zhihu.com/question/28642580/answer/1874813027 https://www.zhihu.com/question/283907809/answer/1865331346 https://www.zhihu.com/question/315284987/answer/1864804256
受辱敏感,,用户1级需求： 用户2级需求：,当我面对批评和质疑时，我坚持我的信念，对我来说，这是唯一的真理。,https://www.zhihu.com/pin/1363287978576502784 https://www.zhihu.com/question/28642580/answer/1874813027 https://www.zhihu.com/question/283907809/answer/1865331346 https://www.zhihu.com/question/315284987/answer/1864804256
记忆力减退,,用户1级需求： 用户2级需求：,虽然记忆不可靠，但我的未来可以自己谱写。, https://zhuanlan.zhihu.com/p/454639672  https://www.zhihu.com/question/561881157/answer/2872625953
记忆力减退,,用户1级需求： 用户2级需求：,每一天，我都有新的故事要讲述，这是我的独特记忆。, https://zhuanlan.zhihu.com/p/454639672  https://www.zhihu.com/question/561881157/answer/2872625953
记忆力减退,,用户1级需求： 用户2级需求：,即使我忘记了过去的一些，但我将创造更多难忘的回忆。, https://zhuanlan.zhihu.com/p/454639672  https://www.zhihu.com/question/561881157/answer/2872625953
记忆力减退,,用户1级需求： 用户2级需求：,每天都是我的新起点，我的生活因此而蓬勃。, https://zhuanlan.zhihu.com/p/454639672  https://www.zhihu.com/question/561881157/answer/2872625953
记忆力减退,,用户1级需求： 用户2级需求：,我的记忆里即使没有昨天，但明天会由我亲自描绘。, https://zhuanlan.zhihu.com/p/454639672  https://www.zhihu.com/question/561881157/answer/2872625953
不合理信念（宿命论）,,用户1级需求： 用户2级需求：,在逆境中，我掌舵自己的命运,https://www.zhihu.com/question/621584092/answer/3211972730 https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/428778047/answer/2484732803 https://www.zhihu.com/question/20175782/answer/1893474874
不合理信念（宿命论）,,用户1级需求： 用户2级需求：,我精心构建自己的未来,https://www.zhihu.com/question/621584092/answer/3211972730 https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/428778047/answer/2484732803 https://www.zhihu.com/question/20175782/answer/1893474874
不合理信念（宿命论）,,用户1级需求： 用户2级需求：,我的选择，我的生活，我的命运,https://www.zhihu.com/question/621584092/answer/3211972730 https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/428778047/answer/2484732803 https://www.zhihu.com/question/20175782/answer/1893474874
不合理信念（宿命论）,,用户1级需求： 用户2级需求：,每一天都是我塑造未来的画布,https://www.zhihu.com/question/621584092/answer/3211972730 https://www.zhihu.com/pin/1204544655179907072 https://www.zhihu.com/question/428778047/answer/2484732803 https://www.zhihu.com/question/20175782/answer/1893474874
